State,EventDate,Duration,Shape
Alabama,2016-03-03,10,Circle
Alabama,2016-03-03,12,Light
Alabama,2016-03-03,14,Light
California,2016-03-04,12,Light
California,2016-03-04,14,Circle
California,2016-03-04,16,Chevron
California,2016-03-04,17,Chevron
California,2016-03-05,11,Circle
Georgia,2016-03-05,18,Chevron
Georgia,2016-03-06,19,Circle
Georgia,2016-03-07,20,Light
Georgia,2016-03-07,10,Chevron
Georgia,2016-03-07,11,Circle
Georgia,2016-03-07,13,Circle
Georgia,2016-03-08,14,Triangle
Indiana,2016-03-08,12,Circle
Indiana,2016-03-08,13,Triangle
Indiana,2016-03-09,15,Fireball
Indiana,2016-03-09,13,Fireball
